model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end,label
salti/bert-base-multilingual-cased-finetuned-squad,18254,0,3,What date is set for another meeting?,Woundclub which is a really good online modules that gets the CPD points of of different wound cares. How to keep up to date with them treating them.,-7.716457367,4511,4660, Woundclub which is a really good online modules that gets the CPD points of of different wound cares. How to keep up to date with them treating them.,4510,4660,1
salti/bert-base-multilingual-cased-finetuned-squad,18254,0,4,What date is set for another meeting?,our team is set up really to support you all in different ways that we can online or on or on the phone,-8.042118073,1683,1786, our team is set up really to support you all in different ways that we can online or on or on the phone,1682,1786,1
salti/bert-base-multilingual-cased-finetuned-squad,18254,1,0,What date is proposed for the next meeting?,no_answer,2.697127342,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18254,1,1,What date is proposed for the next meeting?,a day or two,-4.490849495,5840,5852,t I'll do is I'll just follow up. It may be a day or two. Just make sure that you've got it. And I'v,5796,5896,1
salti/bert-base-multilingual-cased-finetuned-squad,18254,1,2,What date is proposed for the next meeting?,It may be a day or two,-5.911487579,5830,5852,d what I'll do is I'll just follow up. It may be a day or two. Just make sure that you've got it. An,5791,5891,1
salti/bert-base-multilingual-cased-finetuned-squad,18254,1,3,What date is proposed for the next meeting?,day or two,-6.188928604,5842,5852, I'll do is I'll just follow up. It may be a day or two. Just make sure that you've got it. And I've,5797,5897,1
salti/bert-base-multilingual-cased-finetuned-squad,18254,1,4,What date is proposed for the next meeting?,two,-6.907302856,5849,5852,ll do is I'll just follow up. It may be a day or two. Just make sure that you've got it. And I've go,5800,5900,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,0,0,What date is set for another meeting?,no_answer,4.878459454,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,0,1,What date is set for another meeting?,April,0.986945868,1579,1584,ounds generally I've only been in nursing since April so I'm just going off what I have seen. So we ,1531,1631,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,0,2,What date is set for another meeting?,if that's due to the amount of X date,-3.645554781,3410,3447,nd they should be lasting up to if that's due to the amount of X date that's coming out of the wound,3378,3478,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,0,3,What date is set for another meeting?,April so,-4.216440678,1579,1587,nds generally I've only been in nursing since April so I'm just going off what I have seen. So we ha,1533,1633,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,0,4,What date is set for another meeting?,X date,-4.532125473,3441,3447,e lasting up to if that's due to the amount of X date that's coming out of the wound the Allevyn lon,3394,3494,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,1,0,What date is proposed for the next meeting?,no_answer,4.913334846,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,1,1,What date is proposed for the next meeting?,April,0.295757949,1579,1584,ounds generally I've only been in nursing since April so I'm just going off what I have seen. So we ,1531,1631,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,1,2,What date is proposed for the next meeting?,if that's due to the amount of X date,-0.495933503,3410,3447,nd they should be lasting up to if that's due to the amount of X date that's coming out of the wound,3378,3478,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,1,3,What date is proposed for the next meeting?,if that's due to the amount of X,-1.801970124,3410,3442, and they should be lasting up to if that's due to the amount of X date that's coming out of the wou,3376,3476,1
salti/bert-base-multilingual-cased-finetuned-squad,18255,1,4,What date is proposed for the next meeting?,X date,-2.145177603,3441,3447,e lasting up to if that's due to the amount of X date that's coming out of the wound the Allevyn lon,3394,3494,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,0,0,What date is set for another meeting?,no_answer,-0.471979678,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,0,1,What date is set for another meeting?,one week but we know if we don't just protect that for one week it's going to be something worse the following week,-9.579842567,3523,3638, one week but we know if we don't just protect that for one week it's going to be something worse the following week,3522,3638,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,0,2,What date is set for another meeting?,one week it's going to be something worse the following week,-9.766418457,3578,3638,"st protect that for one week it's going to be something worse the following week.""
operator said ""Ye",3558,3658,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,0,3,What date is set for another meeting?,if we do we go for leaving. I'm for protection as well you know. Yeah sometimes. Yeah. Especially with the lady with just a high dose of steroids. It may be a little scab one week but we know if we don't just protect that for one week it's going to be something worse the following week,-9.81684494,3352,3638,if we do we go for leaving. I'm for protection as well you know. Yeah sometimes. Yeah. Especially with the lady with just a high dose of steroids. It may be a little scab one week but we know if we don't just protect that for one week it's going to be something worse the following week,3352,3638,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,0,4,What date is set for another meeting?,one week,-10.06614685,3523,3531,igh dose of steroids. It may be a little scab one week but we know if we don't just protect that for,3477,3577,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,1,0,What date is proposed for the next meeting?,no_answer,2.205563545,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,1,1,What date is proposed for the next meeting?,one week it's going to be something worse the following week,-4.029185772,3578,3638,"st protect that for one week it's going to be something worse the following week.""
operator said ""Ye",3558,3658,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,1,2,What date is proposed for the next meeting?,if we don't just protect that for one week it's going to be something worse the following week,-4.255147934,3544,3638,"ow if we don't just protect that for one week it's going to be something worse the following week.""
",3541,3641,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,1,3,What date is proposed for the next meeting?,one week but we know if we don't just protect that for one week it's going to be something worse the following week,-4.613109589,3523,3638, one week but we know if we don't just protect that for one week it's going to be something worse the following week,3522,3638,1
salti/bert-base-multilingual-cased-finetuned-squad,18256,1,4,What date is proposed for the next meeting?,it's going to be something worse the following week,-4.839498043,3587,3638,"rotect that for one week it's going to be something worse the following week.""
operator said ""Yeah a",3562,3662,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,0,0,What date is set for another meeting?,no_answer,4.851864815,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,0,1,What date is set for another meeting?,Thursday or Friday,2.517428398,4230,4248,s say about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of that ,4189,4289,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,0,2,What date is set for another meeting?,Friday,2.340235233,4242,4248,about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of that foam d,4195,4295,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,0,3,What date is set for another meeting?,Thursday,0.711918592,4230,4238, let's say about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of ,4184,4284,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,0,4,What date is set for another meeting?,next Thursday or Friday,0.329816222,4225,4248,et's say about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of th,4186,4286,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,1,0,What date is proposed for the next meeting?,no_answer,4.97925663,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,1,1,What date is proposed for the next meeting?,Thursday or Friday,3.106731415,4230,4248,s say about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of that ,4189,4289,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,1,2,What date is proposed for the next meeting?,Friday,2.822921753,4242,4248,about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of that foam d,4195,4295,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,1,3,What date is proposed for the next meeting?,next Thursday or Friday,0.832340002,4225,4248,et's say about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of th,4186,4286,1
salti/bert-base-multilingual-cased-finetuned-squad,18257,1,4,What date is proposed for the next meeting?,Thursday,0.821308374,4230,4238, let's say about a week to 10 days maybe next Thursday or Friday. And we can discuss how the use of ,4184,4284,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,0,0,What date is set for another meeting?,no_answer,-1.200144768,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,0,1,What date is set for another meeting?,morning,-3.162831783,512,519,"id ""Thank you.""
customer said ""Hello. Hi. Good morning.""
operator said ""Good morning Olivia. How are",465,565,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,0,2,What date is set for another meeting?,weekend,-4.150446892,1508,1515,"hat's OK.""
customer said ""I can do it over the weekend, I mean.""
operator said ""You can do it whenev",1461,1561,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,0,3,What date is set for another meeting?,morning.,-4.949442387,512,520,"d ""Thank you.""
customer said ""Hello. Hi. Good morning.""
operator said ""Good morning Olivia. How are ",466,566,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,0,4,What date is set for another meeting?,"weekend, I mean.""
operator said ""You can do it whenever you want to. Please don't feel pressurised. I just wanted to really make sure that you've got the emails. The whole idea the whole idea is there to support you for when you have got time to do it. Some of the modules are very short. So that's all. Umm one of the things that I could send across to you today",-5.164008141,1508,1871," weekend, I mean.""
operator said ""You can do it whenever you want to. Please don't feel pressurised. I just wanted to really make sure that you've got the emails. The whole idea the whole idea is there to support you for when you have got time to do it. Some of the modules are very short. So that's all. Umm one of the things that I could send across to you today",1507,1871,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,1,0,What date is proposed for the next meeting?,no_answer,0.460779876,0,0,,0,0,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,1,1,What date is proposed for the next meeting?,weekend,-3.031776667,1508,1515,"hat's OK.""
customer said ""I can do it over the weekend, I mean.""
operator said ""You can do it whenev",1461,1561,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,1,2,What date is proposed for the next meeting?,when you have got time to do it,-3.659696102,1728,1759,e idea is there to support you for when you have got time to do it. Some of the modules are very sho,1693,1793,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,1,3,What date is proposed for the next meeting?,"weekend, I mean.""
operator said ""You can do it whenever you want to. Please don't feel pressurised. I just wanted to really make sure that you've got the emails. The whole idea the whole idea is there to support you for when you have got time to do it",-3.758704185,1508,1759," weekend, I mean.""
operator said ""You can do it whenever you want to. Please don't feel pressurised. I just wanted to really make sure that you've got the emails. The whole idea the whole idea is there to support you for when you have got time to do it",1507,1759,1
salti/bert-base-multilingual-cased-finetuned-squad,18258,1,4,What date is proposed for the next meeting?,"weekend, I mean.""
operator said ""You can do it whenever you want to. Please don't feel pressurised. I just wanted to really make sure that you've got the emails. The whole idea the whole idea is there to support you for when you have got time to do it. Some of the modules are very short. So that's all. Umm one of the things that I could send across to you today",-4.133154869,1508,1871," weekend, I mean.""
operator said ""You can do it whenever you want to. Please don't feel pressurised. I just wanted to really make sure that you've got the emails. The whole idea the whole idea is there to support you for when you have got time to do it. Some of the modules are very short. So that's all. Umm one of the things that I could send across to you today",1507,1871,1
